timestamp,operation,successful,latency_ms
2026-01-15T12:00:00Z,member_verification,true,310
2026-01-15T12:01:00Z,member_verification,true,340
2026-01-15T12:02:00Z,member_verification,true,380
2026-01-15T12:03:00Z,member_verification,true,410
2026-01-15T12:04:00Z,member_verification,true,450
2026-01-15T12:05:00Z,member_verification,true,490
2026-01-15T12:06:00Z,member_verification,true,520
2026-01-15T12:07:00Z,member_verification,false,560
2026-01-15T12:08:00Z,member_verification,true,600
2026-01-15T12:09:00Z,member_verification,true,640
2026-01-15T12:10:00Z,member_verification,true,680
2026-01-15T12:11:00Z,member_verification,true,720
2026-01-15T12:12:00Z,member_verification,true,760
2026-01-15T12:13:00Z,member_verification,true,800
2026-01-15T12:14:00Z,member_verification,true,850
2026-01-15T12:15:00Z,member_verification,true,900
2026-01-15T12:16:00Z,member_verification,true,980
2026-01-15T12:17:00Z,member_verification,true,1100
2026-01-15T12:18:00Z,member_verification,false,1250
2026-01-15T12:19:00Z,member_verification,true,1400
