session_id,event_type,timestamp,step,result,duration_ms
session_0001,session_started,2026-01-12T00:00:00Z,session,ok,0
session_0001,application_viewed,2026-01-12T00:00:21Z,view,ok,21000
session_0001,application_started,2026-01-12T00:00:31Z,start,ok,10000
session_0001,personal_info_completed,2026-01-12T00:02:24Z,personal_info,ok,113000
session_0001,verification_started,2026-01-12T00:09:06Z,verification,ok,402000
session_0001,verification_completed,2026-01-12T00:16:01Z,verification,ok,415000
session_0001,review_viewed,2026-01-12T00:16:15Z,review,ok,14000
session_0001,application_submitted,2026-01-12T00:16:42Z,submit,ok,27000
session_0001,confirmation_viewed,2026-01-12T00:16:58Z,confirmation,ok,16000
session_0002,session_started,2026-01-12T00:20:00Z,session,ok,0
session_0002,application_viewed,2026-01-12T00:20:14Z,view,ok,14000
session_0002,application_started,2026-01-12T00:20:41Z,start,ok,27000
session_0002,personal_info_completed,2026-01-12T00:22:42Z,personal_info,ok,121000
session_0002,verification_started,2026-01-12T00:25:41Z,verification,ok,179000
session_0002,verification_completed,2026-01-12T00:28:29Z,verification,ok,168000
session_0002,review_viewed,2026-01-12T00:29:00Z,review,ok,31000
session_0002,application_submitted,2026-01-12T00:29:20Z,submit,ok,20000
session_0002,confirmation_viewed,2026-01-12T00:29:29Z,confirmation,ok,9000
session_0003,session_started,2026-01-12T00:40:00Z,session,ok,0
session_0003,application_viewed,2026-01-12T00:40:31Z,view,ok,31000
session_0003,application_started,2026-01-12T00:40:51Z,start,ok,20000
session_0003,personal_info_completed,2026-01-12T00:43:00Z,personal_info,ok,129000
session_0003,verification_started,2026-01-12T00:45:52Z,verification,ok,172000
session_0003,verification_completed,2026-01-12T00:48:33Z,verification,ok,161000
session_0003,review_viewed,2026-01-12T00:48:57Z,review,ok,24000
session_0003,application_submitted,2026-01-12T00:49:10Z,submit,ok,13000
session_0003,confirmation_viewed,2026-01-12T00:49:36Z,confirmation,ok,26000
session_0004,session_started,2026-01-12T01:00:00Z,session,ok,0
session_0004,application_viewed,2026-01-12T01:00:24Z,view,ok,24000
session_0004,application_started,2026-01-12T01:00:37Z,start,ok,13000
session_0004,personal_info_completed,2026-01-12T01:03:18Z,personal_info,ok,161000
session_0004,verification_started,2026-01-12T01:06:03Z,verification,ok,165000
session_0004,verification_completed,2026-01-12T01:09:01Z,verification,ok,178000
session_0004,review_viewed,2026-01-12T01:09:18Z,review,ok,17000
session_0004,application_submitted,2026-01-12T01:09:48Z,submit,ok,30000
session_0004,confirmation_viewed,2026-01-12T01:10:07Z,confirmation,ok,19000
session_0005,session_started,2026-01-12T01:20:00Z,session,ok,0
session_0005,application_viewed,2026-01-12T01:20:17Z,view,ok,17000
session_0005,application_started,2026-01-12T01:20:47Z,start,ok,30000
session_0005,personal_info_completed,2026-01-12T01:23:36Z,personal_info,ok,169000
session_0005,verification_started,2026-01-12T01:26:14Z,verification,ok,158000
session_0005,verification_completed,2026-01-12T01:29:05Z,verification,ok,171000
session_0005,review_viewed,2026-01-12T01:29:15Z,review,ok,10000
session_0005,application_submitted,2026-01-12T01:29:38Z,submit,ok,23000
session_0005,confirmation_viewed,2026-01-12T01:29:50Z,confirmation,ok,12000
session_0006,session_started,2026-01-12T01:40:00Z,session,ok,0
session_0006,application_viewed,2026-01-12T01:40:10Z,view,ok,10000
session_0006,application_started,2026-01-12T01:40:33Z,start,ok,23000
session_0006,personal_info_completed,2026-01-12T01:42:15Z,personal_info,ok,102000
session_0006,verification_started,2026-01-12T01:45:10Z,verification,ok,175000
session_0006,verification_completed,2026-01-12T01:47:54Z,verification,ok,164000
session_0006,review_viewed,2026-01-12T01:48:21Z,review,ok,27000
session_0006,application_submitted,2026-01-12T01:48:37Z,submit,ok,16000
session_0006,confirmation_viewed,2026-01-12T01:49:06Z,confirmation,ok,29000
session_0007,session_started,2026-01-12T02:00:00Z,session,ok,0
session_0007,application_viewed,2026-01-12T02:00:27Z,view,ok,27000
session_0007,application_started,2026-01-12T02:00:43Z,start,ok,16000
session_0007,personal_info_completed,2026-01-12T02:02:57Z,personal_info,ok,134000
session_0007,verification_started,2026-01-12T02:05:45Z,verification,ok,168000
session_0007,verification_completed,2026-01-12T02:08:46Z,verification,ok,181000
session_0007,review_viewed,2026-01-12T02:09:06Z,review,ok,20000
session_0007,application_submitted,2026-01-12T02:09:15Z,submit,ok,9000
session_0007,confirmation_viewed,2026-01-12T02:09:37Z,confirmation,ok,22000
session_0008,session_started,2026-01-12T02:20:00Z,session,ok,0
session_0008,application_viewed,2026-01-12T02:20:20Z,view,ok,20000
session_0008,application_started,2026-01-12T02:20:29Z,start,ok,9000
session_0008,personal_info_completed,2026-01-12T02:22:51Z,personal_info,ok,142000
session_0008,verification_started,2026-01-12T02:25:32Z,verification,error,161000
session_0008,verification_completed,2026-01-12T02:28:26Z,verification,ok,174000
session_0008,review_viewed,2026-01-12T02:28:39Z,review,ok,13000
session_0008,application_submitted,2026-01-12T02:29:05Z,submit,ok,26000
session_0008,confirmation_viewed,2026-01-12T02:29:20Z,confirmation,ok,15000
session_0009,session_started,2026-01-12T02:40:00Z,session,ok,0
session_0009,application_viewed,2026-01-12T02:40:13Z,view,ok,13000
session_0009,application_started,2026-01-12T02:40:39Z,start,ok,26000
session_0009,personal_info_completed,2026-01-12T02:43:09Z,personal_info,ok,150000
session_0009,verification_started,2026-01-12T02:46:07Z,verification,ok,178000
session_0009,verification_completed,2026-01-12T02:48:54Z,verification,ok,167000
session_0009,review_viewed,2026-01-12T02:49:24Z,review,ok,30000
session_0009,application_submitted,2026-01-12T02:49:43Z,submit,ok,19000
session_0009,confirmation_viewed,2026-01-12T02:49:51Z,confirmation,ok,8000
session_0010,session_started,2026-01-12T03:00:00Z,session,ok,0
session_0010,application_viewed,2026-01-12T03:00:30Z,view,ok,30000
session_0010,application_started,2026-01-12T03:00:49Z,start,ok,19000
session_0010,personal_info_completed,2026-01-12T03:03:27Z,personal_info,ok,158000
session_0010,verification_started,2026-01-12T03:06:18Z,verification,ok,171000
session_0010,verification_completed,2026-01-12T03:08:58Z,verification,ok,160000
session_0010,review_viewed,2026-01-12T03:09:21Z,review,ok,23000
session_0010,application_submitted,2026-01-12T03:09:33Z,submit,ok,12000
session_0010,confirmation_viewed,2026-01-12T03:09:58Z,confirmation,ok,25000
session_0011,session_started,2026-01-12T03:20:00Z,session,ok,0
session_0011,application_viewed,2026-01-12T03:20:23Z,view,ok,23000
session_0011,application_started,2026-01-12T03:20:35Z,start,ok,12000
session_0011,personal_info_completed,2026-01-12T03:22:30Z,personal_info,ok,115000
session_0011,verification_started,2026-01-12T03:25:14Z,verification,ok,164000
session_0011,verification_completed,2026-01-12T03:28:11Z,verification,ok,177000
session_0011,review_viewed,2026-01-12T03:28:27Z,review,ok,16000
session_0011,application_submitted,2026-01-12T03:28:56Z,submit,ok,29000
session_0011,confirmation_viewed,2026-01-12T03:29:14Z,confirmation,ok,18000
session_0012,session_started,2026-01-12T03:40:00Z,session,ok,0
session_0012,application_viewed,2026-01-12T03:40:16Z,view,ok,16000
session_0012,application_started,2026-01-12T03:40:45Z,start,ok,29000
session_0012,personal_info_completed,2026-01-12T03:42:48Z,personal_info,ok,123000
session_0012,verification_started,2026-01-12T03:45:49Z,verification,ok,181000
session_0012,verification_completed,2026-01-12T03:48:39Z,verification,ok,170000
session_0012,review_viewed,2026-01-12T03:48:48Z,review,ok,9000
session_0012,application_submitted,2026-01-12T03:49:10Z,submit,ok,22000
session_0012,confirmation_viewed,2026-01-12T03:49:21Z,confirmation,ok,11000
session_0013,session_started,2026-01-12T04:00:00Z,session,ok,0
session_0013,application_viewed,2026-01-12T04:00:09Z,view,ok,9000
session_0013,application_started,2026-01-12T04:00:31Z,start,ok,22000
session_0013,personal_info_completed,2026-01-12T04:02:42Z,personal_info,ok,131000
session_0013,verification_started,2026-01-12T04:05:36Z,verification,ok,174000
session_0013,verification_completed,2026-01-12T04:08:19Z,verification,ok,163000
session_0013,review_viewed,2026-01-12T04:08:45Z,review,ok,26000
session_0013,application_submitted,2026-01-12T04:09:00Z,submit,ok,15000
session_0013,confirmation_viewed,2026-01-12T04:09:28Z,confirmation,ok,28000
session_0014,session_started,2026-01-12T04:20:00Z,session,ok,0
session_0014,application_viewed,2026-01-12T04:20:26Z,view,ok,26000
session_0014,application_started,2026-01-12T04:20:41Z,start,ok,15000
